protein	RNA	label
YOR359W	YBL032W	1
YOR359W	YBL111C	1
YOR359W	YBL112C	1
YOR359W	YBR057C	1
YOR359W	YBR068C	1
YOR359W	YBR126C	1
YOR359W	YBR129C	1
YOR359W	YBR147W	1
YOR359W	YBR153W	1
YOR359W	YBR157C	1
YOR359W	YBR197C	1
YOR359W	YBR248C	1
YOR359W	YBR265W	1
YOR359W	YCL036W	1
YOR359W	YCR065W	1
YOR359W	YCR075C	1
YOR359W	YDL022W	1
YOR359W	YDL023C	1
YOR359W	YDL133W	1
YOR359W	YDL209C	1
YOR359W	YDL211C	1
YOR359W	YDL240W	1
YOR359W	YDR274C	1
YOR359W	YDR275W	1
YOR359W	YDR342C	1
YOR359W	YDR420W	1
YOR359W	YEL007W	1
YOR359W	YEL011W	1
YOR359W	YEL060C	1
YOR359W	YEL064C	1
YOR359W	YEL075C	1
YOR359W	YEL076C	1
YOR359W	YEL076C-A	1
YOR359W	YEL077C	1
YOR359W	YER004W	1
YOR359W	YER018C	1
YOR359W	YER019W	1
YOR359W	YER031C	1
YOR359W	YER141W	1
YOR359W	YER145C	1
YOR359W	YER147C	1
YOR359W	YER156C	1
YOR359W	YER167W	1
YOR359W	YER189W	1
YOR359W	YFL045C	1
YOR359W	YFL064C	1
YOR359W	YFL065C	1
YOR359W	YFR006W	1
YOR359W	YFR014C	1
YOR359W	YFR015C	1
YOR359W	YFR017C	1
YOR359W	YFR032C	1
YOR359W	YGL003C	1
YOR359W	YGL038C	1
YOR359W	YGL127C	1
YOR359W	YGL187C	1
YOR359W	YGL225W	1
YOR359W	YGR046W	1
YOR359W	YGR068C	1
YOR359W	YGR079W	1
YOR359W	YGR256W	1
YOR359W	YHL020C	1
YOR359W	YHL028W	1
YOR359W	YHL049C	1
YOR359W	YHL050C	1
YOR359W	YHR018C	1
YOR359W	YHR030C	1
YOR359W	YHR050W	1
YOR359W	YHR092C	1
YOR359W	YHR094C	1
YOR359W	YHR096C	1
YOR359W	YHR200W	1
YOR359W	YHR211W	1
YOR359W	YHR218W	1
YOR359W	YIL074C	1
YOR359W	YIL124W	1
YOR359W	YIL130W	1
YOR359W	YIL177C	1
YOR359W	YIR016W	1
YOR359W	YJL034W	1
YOR359W	YJL084C	1
YOR359W	YJL122W	1
YOR359W	YJL155C	1
YOR359W	YJL157C	1
YOR359W	YJL225C	1
YOR359W	YJR016C	1
YOR359W	YJR112W	1
YOR359W	YJR123W	1
YOR359W	YKL035W	1
YOR359W	YKL052C	1
YOR359W	YKL185W	1
YOR359W	YKR045C	1
YOR359W	YKR051W	1
YOR359W	YKR058W	1
YOR359W	YKR093W	1
YOR359W	YLL066C	1
YOR359W	YLL067C	1
YOR359W	YLR019W	1
YOR359W	YLR177W	1
YOR359W	YLR258W	1
YOR359W	YLR304C	1
YOR359W	YLR310C	1
YOR359W	YLR355C	1
YOR359W	YLR462W	1
YOR359W	YLR463C	1
YOR359W	YLR464W	1
YOR359W	YLR465C	1
YOR359W	YLR466W	1
YOR359W	YLR467W	1
YOR359W	YML038C	1
YOR359W	YML059C	1
YOR359W	YML126C	1
YOR359W	YML133C	1
YOR359W	YMR001C	1
YOR359W	YMR011W	1
YOR359W	YMR152W	1
YOR359W	YMR199W	1
YOR359W	YMR235C	1
YOR359W	YMR268C	1
YOR359W	YMR272C	1
YOR359W	YNL053W	1
YOR359W	YNL116W	1
YOR359W	YNL289W	1
YOR359W	YNL339C	1
YOR359W	YOL020W	1
YOR359W	YOL105C	1
YOR359W	YOL119C	1
YOR359W	YOR038C	1
YOR359W	YOR043W	1
YOR359W	YOR044W	1
YOR359W	YOR047C	1
YOR359W	YOR101W	1
YOR359W	YOR157C	1
YOR359W	YOR187W	1
YOR359W	YOR337W	1
YOR359W	YOR359W	1
YOR359W	YPL133C	1
YOR359W	YPL168W	1
YOR359W	YPR056W	1
YOR359W	YPR083W	1
YOR359W	YPR084W	1
YOR359W	YPR202W	1
YOR359W	YPR203W	1
YOR359W	YPR204W	1
YGR192C	YAR071W	1
YGR192C	YBL020W	1
YGR192C	YBL079W	1
YGR192C	YBL083C	1
YGR192C	YBL101W-A	1
YGR192C	YBR008C	1
YGR192C	YBR015C	1
YGR192C	YBR065C	1
YGR192C	YBR105C	1
YGR192C	YBR158W	1
YGR192C	YBR187W	1
YGR192C	YBR283C	1
YGR192C	YCL002C	1
YGR192C	YCL005W	1
YGR192C	YCR082W	1
YGR192C	YDL052C	1
YGR192C	YDR004W	1
YGR192C	YDR204W	1
YGR192C	YDR297W	1
YGR192C	YDR352W	1
YGR192C	YDR367W	1
YGR192C	YDR411C	1
YGR192C	YDR497C	1
YGR192C	YDR530C	1
YGR192C	YDR541C	1
YGR192C	YEL075C	1
YGR192C	YER020W	1
YGR192C	YER021W	1
YGR192C	YER118C	1
YGR192C	YER144C	1
YGR192C	YER186C	1
YGR192C	YER189W	1
YGR192C	YFL031W	1
YGR192C	YFL064C	1
YGR192C	YFL065C	1
YGR192C	YFR005C	1
YGR192C	YGL059W	1
YGR192C	YGL067W	1
YGR192C	YGL082W	1
YGR192C	YGL088W	1
YGR192C	YGL096W	1
YGR192C	YGL126W	1
YGR192C	YGL136C	1
YGR192C	YGL155W	1
YGR192C	YGL167C	1
YGR192C	YGR024C	1
YGR192C	YGR077C	1
YGR192C	YGR093W	1
YGR192C	YGR097W	1
YGR192C	YGR157W	1
YGR192C	YGR281W	1
YGR192C	YHL009C	1
YGR192C	YHL049C	1
YGR192C	YHR030C	1
YGR192C	YHR078W	1
YGR192C	YHR175W-A	1
YGR192C	YHR188C	1
YGR192C	YHR204W	1
YGR192C	YIL039W	1
YGR192C	YIL090W	1
YGR192C	YIL116W	1
YGR192C	YIL121W	1
YGR192C	YJL002C	1
YGR192C	YJL044C	1
YGR192C	YJL091C	1
YGR192C	YJL127C-B	1
YGR192C	YJL154C	1
YGR192C	YJL225C	1
YGR192C	YJR001W	1
YGR192C	YJR046W	1
YGR192C	YJR054W	1
YGR192C	YJR075W	1
YGR192C	YJR124C	1
YGR192C	YKL039W	1
YGR192C	YKL224C	1
YGR192C	YKR052C	1
YGR192C	YLR130C	1
YGR192C	YLR155C	1
YGR192C	YLR157C	1
YGR192C	YLR158C	1
YGR192C	YLR178C	1
YGR192C	YLR224W	1
YGR192C	YLR265C	1
YGR192C	YLR360W	1
YGR192C	YLR367W	1
YGR192C	YLR375W	1
YGR192C	YLR389C	1
YGR192C	YLR412W	1
