protein	RNA	label
15229321	AthlncRNA10	1
15229884	AthlncRNA10	1
22328551	AthlncRNA10	1
18423684	AthlncRNA102	1
22328551	AthlncRNA102	1
15237716	AthlncRNA102	1
79326195	AthlncRNA104	1
15234010	AthlncRNA105	1
79320777	AthlncRNA105	1
22328551	AthlncRNA105	1
15224366	AthlncRNA105	1
15224217	AthlncRNA105	1
15223768	AthlncRNA105	1
15218779	AthlncRNA105	1
22328551	AthlncRNA109	1
22328551	AthlncRNA110	1
22328624	AthlncRNA110	1
22329999	AthlncRNA110	1
30678085	AthlncRNA110	1
30680456	AthlncRNA110	1
22328551	AthlncRNA141	1
30680456	AthlncRNA148	1
30682553	AthlncRNA148	1
15224217	AthlncRNA148	1
30694526	AthlncRNA148	1
30694529	AthlncRNA148	1
42571149	AthlncRNA148	1
79320777	AthlncRNA148	1
79326195	AthlncRNA148	1
30678085	AthlncRNA148	1
42572443	AthlncRNA148	1
22330665	AthlncRNA148	1
22328624	AthlncRNA148	1
15218779	AthlncRNA148	1
15221761	AthlncRNA148	1
15232459	AthlncRNA148	1
15229884	AthlncRNA148	1
15229743	AthlncRNA148	1
15229321	AthlncRNA148	1
15228098	AthlncRNA148	1
15227722	AthlncRNA148	1
15226605	AthlncRNA148	1
15224366	AthlncRNA148	1
15223768	AthlncRNA148	1
15218972	AthlncRNA148	1
15233167	AthlncRNA148	1
22328551	AthlncRNA148	1
15234010	AthlncRNA148	1
18398061	AthlncRNA148	1
15241028	AthlncRNA148	1
15240641	AthlncRNA148	1
15237716	AthlncRNA148	1
18410591	AthlncRNA148	1
18423684	AthlncRNA148	1
18400210	AthlncRNA148	1
79320777	AthlncRNA155	1
15218779	AthlncRNA155	1
22328551	AthlncRNA155	1
15218779	AthlncRNA159	1
15227722	AthlncRNA159	1
30678085	AthlncRNA159	1
79320777	AthlncRNA159	1
15223768	AthlncRNA159	1
15224217	AthlncRNA159	1
79320777	AthlncRNA167	1
22328551	AthlncRNA167	1
15229884	AthlncRNA167	1
